,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
678,1237963,WHS3_57,COUNTRY,PAN,AMR,YEAR,Americas,,,2006,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
679,1238196,WHS3_57,COUNTRY,COL,AMR,YEAR,Americas,,,2023,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
680,1238647,WHS3_57,COUNTRY,MLT,EUR,YEAR,Europe,,,2016,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
681,1239102,WHS3_57,COUNTRY,HUN,EUR,YEAR,Europe,,,2023,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
682,1241285,WHS3_57,COUNTRY,MWI,AFR,YEAR,Africa,,,2023,,,,,,,7,7.0,,,,2024-07-12T15:55:34.113+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
683,1243378,WHS3_57,COUNTRY,ESP,EUR,YEAR,Europe,,,2016,,,,,,,2,2.0,,,,2024-07-12T15:55:34.113+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
684,1245398,WHS3_57,COUNTRY,TCD,AFR,YEAR,Africa,,,2023,,,,,,,10 918,10918.0,,,,2024-07-12T15:55:34.113+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
685,1251296,WHS3_57,COUNTRY,CMR,AFR,YEAR,Africa,,,2020,,,,,,,23,23.0,,,,2024-07-12T15:55:34.113+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
686,1255045,WHS3_57,COUNTRY,GAB,AFR,YEAR,Africa,,,2009,,,,,,,40,40.0,,,,2024-07-12T15:55:34.113+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
687,1255282,WHS3_57,COUNTRY,GTM,AMR,YEAR,Americas,,,2017,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
688,1255937,WHS3_57,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,,1999,,,,,,,299,299.0,,,,2024-07-12T15:55:34.113+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
689,1258640,WHS3_57,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,,,2018,,,,,,,22,22.0,,,,2024-07-12T15:55:34.113+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
690,1259885,WHS3_57,COUNTRY,BRA,AMR,YEAR,Americas,,,2023,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
691,1260139,WHS3_57,COUNTRY,ERI,AFR,YEAR,Africa,,,2010,,,,,,,163,163.0,,,,2024-07-12T15:55:34.113+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
692,1262723,WHS3_57,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2014,,,,,,,381,381.0,,,,2024-07-12T15:55:34.113+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
693,1264096,WHS3_57,COUNTRY,BRB,AMR,YEAR,Americas,,,2011,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
694,1264936,WHS3_57,COUNTRY,BFA,AFR,YEAR,Africa,,,2001,,,,,,,49,49.0,,,,2024-07-12T15:55:34.113+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
695,1265960,WHS3_57,COUNTRY,ISL,EUR,YEAR,Europe,,,2005,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
696,1268974,WHS3_57,COUNTRY,WSM,WPR,YEAR,Western Pacific,,,2001,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
697,1269249,WHS3_57,COUNTRY,PRK,SEAR,YEAR,South-East Asia,,,2012,,,,,,,1,1.0,,,,2024-07-12T15:55:34.113+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
698,1271988,WHS3_57,COUNTRY,GAB,AFR,YEAR,Africa,,,2012,,,,,,,2,2.0,,,,2024-07-12T15:55:34.113+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
699,1275233,WHS3_57,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,,,2019,,,,,,,302,302.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
700,1283498,WHS3_57,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,,2013,,,,,,,30,30.0,,,,2024-07-12T15:55:34.113+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
701,1284447,WHS3_57,COUNTRY,MDV,SEAR,YEAR,South-East Asia,,,2011,,,,,,,1,1.0,,,,2024-07-12T15:55:34.113+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
702,1286454,WHS3_57,COUNTRY,SEN,AFR,YEAR,Africa,,,2013,,,,,,,44,44.0,,,,2024-07-12T15:55:34.113+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
703,1286636,WHS3_57,COUNTRY,CAF,AFR,YEAR,Africa,,,2008,,,,,,,28,28.0,,,,2024-07-12T15:55:34.113+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
704,1287865,WHS3_57,COUNTRY,KEN,AFR,YEAR,Africa,,,2019,,,,,,,66,66.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
705,1287880,WHS3_57,COUNTRY,URY,AMR,YEAR,Americas,,,2019,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
706,1288606,WHS3_57,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,,2007,,,,,,,32,32.0,,,,2024-07-12T15:55:34.113+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
707,1291442,WHS3_57,COUNTRY,GRC,EUR,YEAR,Europe,,,2013,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
708,1292743,WHS3_57,COUNTRY,MHL,WPR,YEAR,Western Pacific,,,2012,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
709,1293638,WHS3_57,COUNTRY,MWI,AFR,YEAR,Africa,,,2019,,,,,,,7,7.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
710,1296127,WHS3_57,COUNTRY,GNB,AFR,YEAR,Africa,,,2007,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
711,1299931,WHS3_57,COUNTRY,ESP,EUR,YEAR,Europe,,,2013,,,,,,,2,2.0,,,,2024-07-12T15:55:34.113+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
712,1303655,WHS3_57,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2019,,,,,,,8,8.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
713,1304292,WHS3_57,COUNTRY,FJI,WPR,YEAR,Western Pacific,,,2016,,,,,,,1,1.0,,,,2024-07-12T15:55:34.113+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
714,1305032,WHS3_57,COUNTRY,CAN,AMR,YEAR,Americas,,,2022,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
715,1305837,WHS3_57,COUNTRY,BLZ,AMR,YEAR,Americas,,,2013,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
716,1307374,WHS3_57,COUNTRY,OMN,EMR,YEAR,Eastern Mediterranean,,,2015,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
717,1307781,WHS3_57,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,,2007,,,,,,,3,3.0,,,,2024-07-12T15:55:34.113+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
718,1310798,WHS3_57,COUNTRY,COM,AFR,YEAR,Africa,,,2012,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
719,1311303,WHS3_57,COUNTRY,GIN,AFR,YEAR,Africa,,,2019,,,,,,,80,80.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
720,1314931,WHS3_57,COUNTRY,GHA,AFR,YEAR,Africa,,,2018,,,,,,,24,24.0,,,,2024-07-12T15:55:34.113+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
721,1315673,WHS3_57,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2002,,,,,,,274,274.0,,,,2024-07-12T15:55:34.113+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
722,1319122,WHS3_57,COUNTRY,ZWE,AFR,YEAR,Africa,,,2019,,,,,,,35,35.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
723,1321811,WHS3_57,COUNTRY,GUM,WPR,YEAR,Western Pacific,,,2007,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
724,1322470,WHS3_57,COUNTRY,EST,EUR,YEAR,Europe,,,2010,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
725,1325026,WHS3_57,COUNTRY,BMU,AMR,YEAR,Americas,,,2018,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
726,1325073,WHS3_57,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,2020,,,,,,,37,37.0,,,,2024-07-12T15:55:34.113+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
727,1326108,WHS3_57,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,,2005,,,,,,,13,13.0,,,,2024-07-12T15:55:34.113+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
728,1331024,WHS3_57,COUNTRY,ERI,AFR,YEAR,Africa,,,2016,,,,,,,113,113.0,,,,2024-07-12T15:55:34.113+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
729,1331943,WHS3_57,COUNTRY,TCA,AMR,YEAR,Americas,,,2018,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
730,1332579,WHS3_57,COUNTRY,GAB,AFR,YEAR,Africa,,,2018,,,,,,,4,4.0,,,,2024-07-12T15:55:34.113+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
731,1332817,WHS3_57,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2012,,,,,,,35,35.0,,,,2024-07-12T15:55:34.113+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
732,1333106,WHS3_57,COUNTRY,BOL,AMR,YEAR,Americas,,,2011,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
733,1333527,WHS3_57,COUNTRY,VUT,WPR,YEAR,Western Pacific,,,2001,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
734,1336061,WHS3_57,COUNTRY,COD,AFR,YEAR,Africa,,,2020,,,,,,,913,913.0,,,,2024-07-12T15:55:34.113+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
735,1336689,WHS3_57,COUNTRY,SVK,EUR,YEAR,Europe,,,2021,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
736,1338463,WHS3_57,COUNTRY,EST,EUR,YEAR,Europe,,,2019,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
737,1344727,WHS3_57,COUNTRY,ZMB,AFR,YEAR,Africa,,,2011,,,,,,,1124,1124.0,,,,2024-07-12T15:55:34.113+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
738,1345671,WHS3_57,COUNTRY,ATG,AMR,YEAR,Americas,,,2004,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
739,1346803,WHS3_57,WORLDBANKINCOMEGROUP,WB_LI,,YEAR,,,,2013,,,,,,,12 284,12284.0,,,,2024-07-12T15:55:34.113+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
740,1349353,WHS3_57,COUNTRY,SWZ,AFR,YEAR,Africa,,,2007,,,,,,,15,15.0,,,,2024-07-12T15:55:34.113+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
