,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3656,3023713,WHS3_41,COUNTRY,TON,WPR,YEAR,Western Pacific,,,1996,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
3657,3024228,WHS3_41,COUNTRY,ABW,AMR,YEAR,Americas,,,2023,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3658,3026144,WHS3_41,COUNTRY,CZE,EUR,YEAR,Europe,,,1996,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
3659,3026228,WHS3_41,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,2021,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3660,3026240,WHS3_41,COUNTRY,SWE,EUR,YEAR,Europe,,,1979,,,,,,,5,5.0,,,,2024-07-12T15:46:58.707+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
3661,3026251,WHS3_41,COUNTRY,TGO,AFR,YEAR,Africa,,,1993,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
3662,3026342,WHS3_41,COUNTRY,IDN,SEAR,YEAR,South-East Asia,,,2006,,,,,,,432,432.0,,,,2024-07-12T15:46:58.707+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
3663,3026417,WHS3_41,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,,1982,,,,,,,22,22.0,,,,2024-07-12T15:46:58.707+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
3664,3026551,WHS3_41,COUNTRY,MMR,SEAR,YEAR,South-East Asia,,,1980,,,,,,,830,830.0,,,,2024-07-12T15:46:58.707+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
3665,3027914,WHS3_41,WORLDBANKINCOMEGROUP,WB_LI,,YEAR,,,,2000,,,,,,,134,134.0,,,,2024-07-12T15:46:58.707+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
