,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1933,7027385,CHOLERA_0000000001,COUNTRY,BEN,YEAR,AFR,Africa,,,2010,,,,,,,983,,,,,2013-06-11T14:04:28+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1934,7030328,CHOLERA_0000000001,COUNTRY,LBR,YEAR,AFR,Africa,,,1997,,,,,,,91,,,,,2013-06-11T14:04:28+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
1935,7037435,CHOLERA_0000000001,COUNTRY,IDN,YEAR,SEAR,South-East Asia,,,1994,,,,,,,47,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
1936,7038479,CHOLERA_0000000001,COUNTRY,CAN,YEAR,AMR,Americas,,,2010,,,,,,,2,,,,1 of 2 reported cases are imported.,2013-06-11T14:04:28+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1937,7039362,CHOLERA_0000000001,COUNTRY,TCD,YEAR,AFR,Africa,,,2004,,,,,,,5531,,,,,2013-06-11T14:04:28+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1938,7041846,CHOLERA_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,,,1994,,,,,,,38735,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
1939,7044498,CHOLERA_0000000001,COUNTRY,ETH,YEAR,AFR,Africa,,,2006,,,,,,,54070,,,,,2013-06-11T14:04:28+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1940,7045640,CHOLERA_0000000001,COUNTRY,SEN,YEAR,AFR,Africa,,,2006,,,,,,,365,,,,,2013-06-11T14:04:28+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1941,7046149,CHOLERA_0000000001,COUNTRY,COM,YEAR,AFR,Africa,,,1976,,,,,,,5,,,,,2013-06-11T14:04:28+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
1942,7046260,CHOLERA_0000000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,,,1965,,,,,,,1123,,,,,2013-06-11T14:04:28+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
1943,7048297,CHOLERA_0000000001,COUNTRY,BRN,YEAR,WPR,Western Pacific,,,1955,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1955,1955-01-01T00:00:00+01:00,1955-12-31T00:00:00+01:00
