,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1533,1936595,WHS3_49,COUNTRY,CUB,YEAR,AMR,Americas,,2017,,,,,,,,0,0.0,,,,2019-09-11T08:28:00+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1534,2069840,WHS3_49,COUNTRY,SEN,YEAR,AFR,Africa,,1995,,,,,,,,1,1.0,,,,2019-09-11T08:29:14+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
1535,2069976,WHS3_49,COUNTRY,ECU,YEAR,AMR,Americas,,1990,,,,,,,,1,1.0,,,,2019-09-11T08:28:06+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
1536,2070598,WHS3_49,COUNTRY,PHL,YEAR,WPR,Western Pacific,,1993,,,,,,,,15,15.0,,,,2019-09-11T08:29:03+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
1537,2071349,WHS3_49,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,,2007,,,,,,,,0,0.0,,,,2019-09-11T08:29:39+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1538,2075436,WHS3_49,COUNTRY,TZA,YEAR,AFR,Africa,,1992,,,,,,,,9,9.0,,,,2019-09-11T08:29:35+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
1539,2075626,WHS3_49,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,,2005,,,,,,,,0,0.0,,,,2019-09-11T08:29:25+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1540,1939362,WHS3_49,REGION,EMR,YEAR,,,,2008,,,,,,,,175,175.0,,,,2019-09-11T08:29:42+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1541,1944375,WHS3_49,COUNTRY,GTM,YEAR,AMR,Americas,,1994,,,,,,,,0,0.0,,,,2019-09-11T08:28:18+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
1542,1946706,WHS3_49,COUNTRY,NLD,YEAR,EUR,Europe,,2017,,,,,,,,0,0.0,,,,2019-09-11T08:28:51+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1543,1952817,WHS3_49,COUNTRY,SWZ,YEAR,AFR,Africa,,1991,,,,,,,,0,0.0,,,,2019-09-11T08:28:10+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
