,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1958,6387397,MALARIA_CONF_CASES,COUNTRY,SLB,WPR,YEAR,Western Pacific,,2015,,,,,,,,23 998,23998.0,,,,2023-05-10T14:47:55+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1959,6389511,MALARIA_CONF_CASES,COUNTRY,NIC,AMR,YEAR,Americas,,2002,,,,,,,,7 695,7695.0,,,,2023-05-10T14:48:13+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1960,6394026,MALARIA_CONF_CASES,COUNTRY,STP,AFR,YEAR,Africa,,2018,,,,,,,,2 940,2940.0,,,,2023-05-10T14:48:17+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1961,6395845,MALARIA_CONF_CASES,COUNTRY,COG,AFR,YEAR,Africa,,2007,,,,,,,,103 213,103213.0,,,,2023-05-10T14:47:56+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1962,6398365,MALARIA_CONF_CASES,COUNTRY,KGZ,EUR,YEAR,Europe,,2016,,,,,,,,6,6.0,,,,2023-05-10T14:48:17+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1963,6401862,MALARIA_CONF_CASES,COUNTRY,SLV,AMR,YEAR,Americas,,2016,,,,,,,,14,14.0,,,,2023-05-10T14:48:03+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1964,6402557,MALARIA_CONF_CASES,COUNTRY,STP,AFR,YEAR,Africa,,2019,,,,,,,,2 742,2742.0,,,,2023-05-10T14:48:10+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1965,6403995,MALARIA_CONF_CASES,COUNTRY,SLE,AFR,YEAR,Africa,,2009,,,,,,,,646 808,646808.0,,,,2023-05-10T14:48:12+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1966,6416135,MALARIA_CONF_CASES,REGION,AMR,,YEAR,,,2016,,,,,,,,650 966,650966.0,,,,2023-05-10T14:48:05+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1967,6416692,MALARIA_CONF_CASES,COUNTRY,GUF,AMR,YEAR,Americas,,2014,,,,,,,,448,448.0,,,,2023-05-10T14:48:17+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
