,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6095,1895032,WHS3_43,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,,2006,,,,,,,,212,212.0,,,,2024-07-12T15:46:58.707+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6096,1895294,WHS3_43,COUNTRY,DNK,YEAR,EUR,Europe,,1992,,,,,,,,495,495.0,,,,2024-07-12T15:46:58.707+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
6097,1895466,WHS3_43,COUNTRY,AGO,YEAR,AFR,Africa,,2011,,,,,,,,1554,1554.0,,,,2024-07-12T15:46:58.707+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6098,1900283,WHS3_43,COUNTRY,MHL,YEAR,WPR,Western Pacific,,2022,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6099,1913691,WHS3_43,COUNTRY,JPN,YEAR,WPR,Western Pacific,,2001,,,,,,,,3804,3804.0,,,,2024-07-12T15:46:58.707+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6100,1914674,WHS3_43,COUNTRY,GUY,YEAR,AMR,Americas,,2020,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6101,1914686,WHS3_43,COUNTRY,BEN,YEAR,AFR,Africa,,1984,,,,,,,,2158,2158.0,,,,2024-07-12T15:46:58.707+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
6102,1914721,WHS3_43,COUNTRY,SVN,YEAR,EUR,Europe,,2023,,,,,,,,126,126.0,,,,2024-07-12T15:46:58.707+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6103,1915018,WHS3_43,COUNTRY,BHS,YEAR,AMR,Americas,,2009,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6104,1921064,WHS3_43,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,,2015,,,,,,,,120,120.0,,,,2024-07-12T15:46:58.707+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6105,1927211,WHS3_43,COUNTRY,LUX,YEAR,EUR,Europe,,1993,,,,,,,,4,4.0,,,,2024-07-12T15:46:58.707+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
6106,1927356,WHS3_43,COUNTRY,PRY,YEAR,AMR,Americas,,1990,,,,,,,,115,115.0,,,,2024-07-12T15:46:58.707+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
6107,1928470,WHS3_43,COUNTRY,IRL,YEAR,EUR,Europe,,1977,,,,,,,,1149,1149.0,,,,2024-07-12T15:46:58.707+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
6108,1928717,WHS3_43,REGION,AMR,YEAR,,,,2014,,,,,,,,46 865,46865.0,,,,2024-07-12T15:46:58.707+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6109,1929297,WHS3_43,COUNTRY,BWA,YEAR,AFR,Africa,,2017,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6110,1929454,WHS3_43,COUNTRY,MLT,YEAR,EUR,Europe,,2020,,,,,,,,9,9.0,,,,2024-07-12T15:46:58.707+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6111,1934000,WHS3_43,REGION,AMR,YEAR,,,,2011,,,,,,,,29 719,29719.0,,,,2024-07-12T15:46:58.707+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6112,1935545,WHS3_43,COUNTRY,CHL,YEAR,AMR,Americas,,1983,,,,,,,,127,127.0,,,,2024-07-12T15:46:58.707+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
6113,1935746,WHS3_43,COUNTRY,JAM,YEAR,AMR,Americas,,1980,,,,,,,,13,13.0,,,,2024-07-12T15:46:58.707+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
6114,1936520,WHS3_43,REGION,AMR,YEAR,,,,1987,,,,,,,,34 214,34214.0,,,,2024-07-12T15:46:58.707+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
