,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2605,5767909,WHS3_45,COUNTRY,KGZ,YEAR,EUR,Europe,,,2017,,,,,,,No data,,,,,2018-12-10T09:08:10+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
2606,5767948,WHS3_45,COUNTRY,SWE,YEAR,EUR,Europe,,,2014,,,,,,,No data,,,,,2019-10-11T13:32:15+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2607,5769048,WHS3_45,COUNTRY,ETH,YEAR,AFR,Africa,,,2008,,,,,,,4170,4170.0,,,,2019-10-11T14:15:01+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2608,5769447,WHS3_45,COUNTRY,NAM,YEAR,AFR,Africa,,,2009,,,,,,,4,4.0,,,,2019-10-11T14:09:16+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2609,5769838,WHS3_45,COUNTRY,SGP,YEAR,WPR,Western Pacific,,,2022,,,,,,,5,5.0,,,,2023-09-12T08:25:08+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2610,5771332,WHS3_45,COUNTRY,VCT,YEAR,AMR,Americas,,,2013,,,,,,,No data,,,,,2019-10-11T14:15:14+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2611,5771727,WHS3_45,COUNTRY,GTM,YEAR,AMR,Americas,,,2022,,,,,,,1,1.0,,,,2023-09-12T08:25:08+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2612,5772233,WHS3_45,COUNTRY,MEX,YEAR,AMR,Americas,,,2010,,,,,,,211,211.0,,,,2019-10-11T14:09:17+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2613,5773494,WHS3_45,COUNTRY,ROU,YEAR,EUR,Europe,,,2012,,,,,,,No data,,,,,2019-10-11T14:09:31+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2614,5773589,WHS3_45,COUNTRY,KOR,YEAR,WPR,Western Pacific,,,2012,,,,,,,5,5.0,,,,2019-10-11T14:09:08+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2615,5775052,WHS3_45,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,,,2008,,,,,,,447,447.0,,,,2019-10-11T14:09:26+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2616,5776998,WHS3_45,COUNTRY,KHM,YEAR,WPR,Western Pacific,,,2011,,,,,,,314,314.0,,,,2019-10-11T14:09:30+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2617,5777432,WHS3_45,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,,,2008,,,,,,,471,471.0,,,,2019-10-11T14:09:26+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2618,5783724,WHS3_45,COUNTRY,NLD,YEAR,EUR,Europe,,,2022,,,,,,,1,1.0,,,,2023-09-12T08:25:08+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2619,5784227,WHS3_45,COUNTRY,KNA,YEAR,AMR,Americas,,,2020,,,,,,,No data,,,,,2021-09-13T09:45:20+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2620,5785388,WHS3_45,COUNTRY,GMB,YEAR,AFR,Africa,,,2005,,,,,,,No data,,,,,2019-10-11T14:15:03+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2621,5787252,WHS3_45,COUNTRY,POL,YEAR,EUR,Europe,,,2015,,,,,,,No data,,,,,2019-10-11T13:32:21+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2622,5788036,WHS3_45,COUNTRY,BEN,YEAR,AFR,Africa,,,2016,,,,,,,No data,,,,,2019-10-11T13:32:26+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2623,5788597,WHS3_45,COUNTRY,BRB,YEAR,AMR,Americas,,,2006,,,,,,,No data,,,,,2019-10-11T14:09:13+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2624,5788625,WHS3_45,COUNTRY,LCA,YEAR,AMR,Americas,,,2012,,,,,,,5,5.0,,,,2019-10-11T14:09:19+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2625,5792696,WHS3_45,COUNTRY,FRA,YEAR,EUR,Europe,,,2022,,,,,,,18,18.0,,,,2023-09-12T08:25:09+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2626,5795350,WHS3_45,COUNTRY,MKD,YEAR,EUR,Europe,,,2021,,,,,,,0,0.0,,,,2022-09-06T14:22:12+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2627,5795546,WHS3_45,COUNTRY,POL,YEAR,EUR,Europe,,,2012,,,,,,,No data,,,,,2019-10-11T14:09:31+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2628,5797605,WHS3_45,COUNTRY,MWI,YEAR,AFR,Africa,,,2019,,,,,,,No data,,,,,2020-09-04T12:29:31+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2629,5802741,WHS3_45,COUNTRY,MDA,YEAR,EUR,Europe,,,2014,,,,,,,No data,,,,,2019-10-11T13:32:16+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2630,5804344,WHS3_45,COUNTRY,MRT,YEAR,AFR,Africa,,,2019,,,,,,,11,11.0,,,,2020-09-04T12:29:29+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2631,5805777,WHS3_45,COUNTRY,ARM,YEAR,EUR,Europe,,,2014,,,,,,,No data,,,,,2019-10-11T13:32:15+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2632,5808024,WHS3_45,COUNTRY,MUS,YEAR,AFR,Africa,,,2011,,,,,,,No data,,,,,2019-10-11T14:15:11+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2633,5808029,WHS3_45,COUNTRY,GIN,YEAR,AFR,Africa,,,2009,,,,,,,636,636.0,,,,2019-10-11T14:15:02+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2634,5808544,WHS3_45,COUNTRY,NIC,YEAR,AMR,Americas,,,2005,,,,,,,No data,,,,,2019-10-11T14:09:22+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2635,5816906,WHS3_45,COUNTRY,SLB,YEAR,WPR,Western Pacific,,,2005,,,,,,,25,25.0,,,,2019-10-11T14:09:22+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2636,5817858,WHS3_45,COUNTRY,BFA,YEAR,AFR,Africa,,,2012,,,,,,,313,313.0,,,,2019-10-11T14:09:31+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2637,5818928,WHS3_45,COUNTRY,MNG,YEAR,WPR,Western Pacific,,,2019,,,,,,,0,0.0,,,,2020-09-04T12:29:28+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2638,5819165,WHS3_45,COUNTRY,RWA,YEAR,AFR,Africa,,,2019,,,,,,,26,26.0,,,,2020-09-04T12:29:30+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2639,5820345,WHS3_45,COUNTRY,ZMB,YEAR,AFR,Africa,,,2019,,,,,,,206,206.0,,,,2020-09-04T12:29:30+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2640,5823131,WHS3_45,COUNTRY,SVN,YEAR,EUR,Europe,,,2008,,,,,,,0,0.0,,,,2019-10-11T14:09:14+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2641,5823356,WHS3_45,COUNTRY,MYS,YEAR,WPR,Western Pacific,,,2016,,,,,,,206,206.0,,,,2019-10-11T13:32:25+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2642,5825640,WHS3_45,COUNTRY,CMR,YEAR,AFR,Africa,,,2006,,,,,,,714,714.0,,,,2019-10-11T14:09:23+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2643,5826862,WHS3_45,COUNTRY,VNM,YEAR,WPR,Western Pacific,,,2020,,,,,,,73,73.0,,,,2021-09-13T09:45:20+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
