,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8326,7163121,WHS3_46,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,,,1987,,,,,,,192,192.0,,,,2024-07-12T15:49:00.303+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
8327,7163251,WHS3_46,COUNTRY,NCL,YEAR,WPR,Western Pacific,,,1983,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
8328,7164383,WHS3_46,REGION,EMR,YEAR,,,,,2015,,,,,,,885,885.0,,,,2024-07-12T15:49:00.303+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
8329,7165198,WHS3_46,COUNTRY,BDI,YEAR,AFR,Africa,,,2003,,,,,,,40,40.0,,,,2024-07-12T15:49:00.303+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
8330,7165759,WHS3_46,COUNTRY,GUY,YEAR,AMR,Americas,,,2015,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
8331,7166116,WHS3_46,COUNTRY,PSE,YEAR,EMR,Eastern Mediterranean,,,2023,,,,,,,1,1.0,,,,2024-07-12T15:49:00.303+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
8332,7166371,WHS3_46,COUNTRY,MEX,YEAR,AMR,Americas,,,2007,,,,,,,45,45.0,,,,2024-07-12T15:49:00.303+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
8333,7167411,WHS3_46,REGION,SEAR,YEAR,,,,,1986,,,,,,,40 411,40411.0,,,,2024-07-12T15:49:00.303+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
8334,7167880,WHS3_46,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,,,1995,,,,,,,29,29.0,,,,2024-07-12T15:49:00.303+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
8335,7167984,WHS3_46,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,,1976,,,,,,,114,114.0,,,,2024-07-12T15:49:00.303+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
