,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2887,2255885,WHS3_62,COUNTRY,NCL,YEAR,WPR,Western Pacific,,,1990,,,,,,,18,18.0,,,,2024-07-12T16:01:16.317+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
2888,2256001,WHS3_62,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,,1974,,,,,,,18 623,18623.0,,,,2024-07-12T16:01:16.317+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
2889,2256471,WHS3_62,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,,2017,,,,,,,99,99.0,,,,2024-07-12T16:01:16.317+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
2890,2257190,WHS3_62,COUNTRY,SEN,YEAR,AFR,Africa,,,2011,,,,,,,18,18.0,,,,2024-07-12T16:01:16.317+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2891,2258032,WHS3_62,COUNTRY,VNM,YEAR,WPR,Western Pacific,,,2015,,,,,,,256,256.0,,,,2024-07-12T16:01:16.317+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2892,2258168,WHS3_62,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,,,1974,,,,,,,732,732.0,,,,2024-07-12T16:01:16.317+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
2893,2258656,WHS3_62,COUNTRY,KHM,YEAR,WPR,Western Pacific,,,2001,,,,,,,3761,3761.0,,,,2024-07-12T16:01:16.317+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
2894,2259236,WHS3_62,REGION,SEAR,YEAR,,,,,1982,,,,,,,258 666,258666.0,,,,2024-07-12T16:01:16.317+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
2895,2259439,WHS3_62,COUNTRY,PRK,YEAR,SEAR,South-East Asia,,,1997,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
2896,2259785,WHS3_62,COUNTRY,PRY,YEAR,AMR,Americas,,,1992,,,,,,,864,864.0,,,,2024-07-12T16:01:16.317+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
2897,2260616,WHS3_62,COUNTRY,KEN,YEAR,AFR,Africa,,,1992,,,,,,,65 004,65004.0,,,,2024-07-12T16:01:16.317+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
2898,2262017,WHS3_62,COUNTRY,GUM,YEAR,WPR,Western Pacific,,,1997,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
2899,2262131,WHS3_62,COUNTRY,BEL,YEAR,EUR,Europe,,,2014,,,,,,,70,70.0,,,,2024-07-12T16:01:16.317+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2900,2262415,WHS3_62,COUNTRY,MEX,YEAR,AMR,Americas,,,1978,,,,,,,3078,3078.0,,,,2024-07-12T16:01:16.317+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
