,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2049,4429211,WHS3_53,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2023,,,,,,,195,195.0,,,,2024-07-12T15:49:00.303+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2050,4429311,WHS3_53,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,,2003,,,,,,,749,749.0,,,,2024-07-12T15:49:00.303+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
2051,4362318,WHS3_53,COUNTRY,HUN,EUR,YEAR,Europe,,,2004,,,,,,,100,100.0,,,,2024-07-12T15:49:00.303+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2052,4363677,WHS3_53,COUNTRY,KNA,AMR,YEAR,Americas,,,2004,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2053,4433680,WHS3_53,COUNTRY,HUN,EUR,YEAR,Europe,,,2010,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2054,4439425,WHS3_53,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,,2012,,,,,,,3558,3558.0,,,,2024-07-12T15:49:00.303+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2055,4372133,WHS3_53,COUNTRY,OMN,EMR,YEAR,Eastern Mediterranean,,,2010,,,,,,,575,575.0,,,,2024-07-12T15:49:00.303+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2056,4372704,WHS3_53,COUNTRY,GNB,AFR,YEAR,Africa,,,2008,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2057,4378318,WHS3_53,COUNTRY,HUN,EUR,YEAR,Europe,,,2021,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2058,4448349,WHS3_53,COUNTRY,TLS,SEAR,YEAR,South-East Asia,,,2004,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2059,4452158,WHS3_53,COUNTRY,MCO,EUR,YEAR,Europe,,,2021,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2060,4452394,WHS3_53,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2018,,,,,,,4545,4545.0,,,,2024-07-12T15:49:00.303+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2061,4380790,WHS3_53,COUNTRY,MDG,AFR,YEAR,Africa,,,2013,,,,,,,5,5.0,,,,2024-07-12T15:49:00.303+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2062,4455264,WHS3_53,COUNTRY,HND,AMR,YEAR,Americas,,,2017,,,,,,,115,115.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
2063,4458425,WHS3_53,COUNTRY,HND,AMR,YEAR,Americas,,,2004,,,,,,,554,554.0,,,,2024-07-12T15:49:00.303+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2064,4461707,WHS3_53,COUNTRY,ARG,AMR,YEAR,Americas,,,2018,,,,,,,7715,7715.0,,,,2024-07-12T15:49:00.303+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
